Time,txNext,highestSeq,unackSeq,rxNext,rxAvailable,rxTotal,cwnd,rWnd,ssThresh,state
+10004319.0ns,0,0,0,0,0,131072,1,0,65535,LISTEN
+10004319.0ns,,,,,,,,,,SYN_RCVD
+1471959005.0ns,1079479194,,,,,,,,
+1471967484.0ns,,,1079471091,,,,,,
+1471967485.0ns,,1079479238,,,,,,,
+1471967485.0ns,1079479238,,,,,,,,
+1471976283.0ns,,,,,,,8180,,
+1471976283.0ns,,,1079471139,,,,,,
+1471976284.0ns,,1079479319,,,,,,,
+1471976284.0ns,1079479319,,,,,,,,
+1471988762.0ns,,,1079471233,,,,,,
+1471988763.0ns,,1079479413,,,,,,,
+1471988763.0ns,1079479413,,,,,,,,
+1472001241.0ns,,,1079471327,,,,,,
+1472001242.0ns,,1079479507,,,,,,,
+1472001242.0ns,1079479507,,,,,,,,
+1472015241.0ns,,,1079471440,,,,,,
+1472015242.0ns,,1079479620,,,,,,,
+1472015242.0ns,1079479620,,,,,,,,
+1472029161.0ns,,,1079471552,,,,,,
+1472029162.0ns,,1079479732,,,,,,,
+1472029162.0ns,1079479732,,,,,,,,
+1472041560.0ns,,,,,,,8213,,
+1472041560.0ns,,,1079471645,,,,,,
+1472041561.0ns,,1079479858,,,,,,,
+1472041561.0ns,1079479858,,,,,,,,
+1472089400.0ns,,,,,,,8246,,
+1472089400.0ns,,,1079472181,,,,,,
+1472089401.0ns,,1079480394,,,,,,,
+1472089401.0ns,1079480394,,,,,,,,
+1472089401.0ns,,1079480427,,,,,,,
+1472089401.0ns,1079480427,,,,,,,,
+1472096839.0ns,,,1079472216,,,,,,
+1472096840.0ns,,1079480462,,,,,,,
+1472096840.0ns,1079480462,,,,,,,,
+1472104838.0ns,,,1079472254,,,,,,
+1472104839.0ns,,1079480500,,,,,,,
+1472104839.0ns,1079480500,,,,,,,,
+1472113078.0ns,,,1079472295,,,,,,
+1472113079.0ns,,1079480541,,,,,,,
+1472113079.0ns,1079480541,,,,,,,,
+1472121558.0ns,,,1079472339,,,,,,
+1472121559.0ns,,1079480585,,,,,,,
+1472121559.0ns,1079480585,,,,,,,,
+1472130357.0ns,,,1079472387,,,,,,
+1472130358.0ns,,1079480633,,,,,,,
+1472130358.0ns,1079480633,,,,,,,,
+1472142277.0ns,,,1079472474,,,,,,
+1472142278.0ns,,1079480720,,,,,,,
+1472142278.0ns,1079480720,,,,,,,,
+1472155076.0ns,,,1079472572,,,,,,
+1472155077.0ns,,1079480818,,,,,,,
+1472155077.0ns,1079480818,,,,,,,,
+1472165155.0ns,,,1079472636,,,,,,
+1472165156.0ns,,1079480882,,,,,,,
+1472165156.0ns,1079480882,,,,,,,,
+1472175954.0ns,,,,,,,8279,,
+1472175954.0ns,,,1079472709,,,,,,
+1472175955.0ns,,1079480988,,,,,,,
+1472175955.0ns,1079480988,,,,,,,,
+1472209314.0ns,,,1079473064,,,,,,
+1472209315.0ns,,1079481343,,,,,,,
+1472209315.0ns,1079481343,,,,,,,,
+1472230193.0ns,,,,,,,8312,,
+1472230193.0ns,,,1079473263,,,,,,
+1472230194.0ns,,1079481575,,,,,,,
+1472230194.0ns,1079481575,,,,,,,,
+1472253313.0ns,,,1079473490,,,,,,
+1472253314.0ns,,1079481802,,,,,,,
+1472253314.0ns,1079481802,,,,,,,,
+1472301153.0ns,,,,,,,8345,,
+1472301153.0ns,,,1079474026,,,,,,
+1472301154.0ns,,1079482338,,,,,,,
+1472301154.0ns,1079482338,,,,,,,,
+1472301154.0ns,,1079482371,,,,,,,
+1472301154.0ns,1079482371,,,,,,,,
+1472308592.0ns,,,1079474061,,,,,,
+1472308593.0ns,,1079482406,,,,,,,
+1472308593.0ns,1079482406,,,,,,,,
+1472316512.0ns,,,1079474098,,,,,,
+1472316513.0ns,,1079482443,,,,,,,
+1472316513.0ns,1079482443,,,,,,,,
+1472327472.0ns,,,1079474173,,,,,,
+1472327473.0ns,,1079482518,,,,,,,
+1472327473.0ns,1079482518,,,,,,,,
+1472335871.0ns,,,1079474216,,,,,,
+1472335872.0ns,,1079482561,,,,,,,
+1472335872.0ns,1079482561,,,,,,,,
+1472342270.0ns,,,1079474234,,,,,,
+1472342271.0ns,,1079482579,,,,,,,
+1472342271.0ns,1079482579,,,,,,,,
+1472348750.0ns,,,1079474253,,,,,,
+1472348751.0ns,,1079482598,,,,,,,
+1472348751.0ns,1079482598,,,,,,,,
+1472395469.0ns,,,,,,,8378,,
+1472395469.0ns,,,1079474775,,,,,,
+1472395470.0ns,,1079483134,,,,,,,
+1472395470.0ns,1079483134,,,,,,,,
+1472395470.0ns,,1079483153,,,,,,,
+1472395470.0ns,1079483153,,,,,,,,
+1472436428.0ns,,,,,,,8410,,
+1472436428.0ns,,,1079475225,,,,,,
+1472436429.0ns,,1079483635,,,,,,,
+1472436429.0ns,1079483635,,,,,,,,
+1491630133.0ns,,,,,,,8442,,
+1491630133.0ns,,,1079475761,,,,,,
+1491630134.0ns,,1079484171,,,,,,,
+1491630134.0ns,1079484171,,,,,,,,
+1491630134.0ns,,1079484203,,,,,,,
+1491630134.0ns,1079484203,,,,,,,,
+1491636532.0ns,,,1079475795,,,,,,
+1491636533.0ns,,1079484237,,,,,,,
+1491636533.0ns,1079484237,,,,,,,,
+1491647172.0ns,,,1079475866,,,,,,
+1491647173.0ns,,1079484308,,,,,,,
+1491647173.0ns,1079484308,,,,,,,,
+1491655251.0ns,,,1079475905,,,,,,
+1491655252.0ns,,1079484347,,,,,,,
+1491655252.0ns,1079484347,,,,,,,,
+1491663570.0ns,,,,,,,8474,,
+1491663570.0ns,,,1079475947,,,,,,
+1491663571.0ns,,1079484421,,,,,,,
+1491663571.0ns,1079484421,,,,,,,,
+1491672210.0ns,,,1079475993,,,,,,
+1491672211.0ns,,1079484467,,,,,,,
+1491672211.0ns,1079484467,,,,,,,,
+1491684850.0ns,,,1079476089,,,,,,
+1491684851.0ns,,1079484563,,,,,,,
+1491684851.0ns,1079484563,,,,,,,,
+1491694209.0ns,,,1079476144,,,,,,
+1491694210.0ns,,1079484618,,,,,,,
+1491694210.0ns,1079484618,,,,,,,,
+1491708048.0ns,,,1079476255,,,,,,
+1491708049.0ns,,1079484729,,,,,,,
+1491708049.0ns,1079484729,,,,,,,,
+1491718527.0ns,,,1079476324,,,,,,
+1491718528.0ns,,1079484798,,,,,,,
+1491718528.0ns,1079484798,,,,,,,,
+1491738367.0ns,,,,,,,8506,,
+1491738367.0ns,,,1079476510,,,,,,
+1491738368.0ns,,1079485016,,,,,,,
+1491738368.0ns,1079485016,,,,,,,,
+1491758207.0ns,,,1079476696,,,,,,
+1491758208.0ns,,1079485202,,,,,,,
+1491758208.0ns,1079485202,,,,,,,,
+1491780846.0ns,,,1079476917,,,,,,
+1491780847.0ns,,1079485423,,,,,,,
+1491780847.0ns,1079485423,,,,,,,,
+1491817326.0ns,,,,,,,8538,,
+1491817326.0ns,,,1079477311,,,,,,
+1491817327.0ns,,1079485849,,,,,,,
+1491817327.0ns,1079485849,,,,,,,,
+1491865166.0ns,,,,,,,8570,,
+1491865166.0ns,,,1079477847,,,,,,
+1491865167.0ns,,1079486385,,,,,,,
+1491865167.0ns,1079486385,,,,,,,,
+1491865167.0ns,,1079486417,,,,,,,
+1491865167.0ns,1079486417,,,,,,,,
+1491872525.0ns,,,1079477881,,,,,,
+1491872526.0ns,,1079486451,,,,,,,
+1491872526.0ns,1079486451,,,,,,,,
+1491880365.0ns,,,1079477917,,,,,,
